title,url,price
Apple MacBook Air 13 inch 2022 MC7U4LL/A M2 Chip 16GB/256GB SSD Space Grey,https://zoommer.ge/leptopebi/apple-macbook-air-13-inch-2022-mc7u4ll-a-m2-chip-16gb-256gb-ssd-space-grey-p45066,2999
Apple Macbook Air 13 inch 2025 MC6T4LL/A M4 Chip 10c CPU 8c GPU 16GB/256GB SSD Sky Blue,https://zoommer.ge/leptopebi/apple-macbook-air-13-inch-2025-mc6t4ll-a-m4-chip-10c-cpu-8c-gpu-16gb-256gb-ssd-sk-p47047,3549
Apple Macbook Air 13 inch 2025 MW0W3LL/A M4 Chip 10c CPU 8c GPU 16GB/256GB SSD Silver,https://zoommer.ge/leptopebi/apple-macbook-air-13-inch-2025-mw0w3ll-a-m4-chip-10c-cpu-8c-gpu-16gb-256gb-ssd-si-p47046,3549
HONOR MagicBook X16 5301ALXS Space Grey,https://zoommer.ge/leptopebi/honor-magicbook-x16-5301alxs-space-grey-p46955,1499
HONOR MagicBook X16 5301ALXQ Space Grey,https://zoommer.ge/leptopebi/honor-magicbook-x16-5301alxq-space-grey-p46954,1699
HONOR MagicBook X16 5301ALXN Space Grey,https://zoommer.ge/leptopebi/honor-magicbook-x16-5301alxn-space-grey-p46953,1799
HONOR MagicBook X14 5301ALXL Space Grey,https://zoommer.ge/leptopebi/honor-magicbook-x14-5301alxl-space-grey-p46952,1799
HONOR MagicBook X14 5301ALXB Cloud Grey,https://zoommer.ge/leptopebi/honor-magicbook-x14-5301alxb-cloud-grey-p46951,1299
HONOR MagicBook X14 5301ALWY Cloud Grey,https://zoommer.ge/leptopebi/honor-magicbook-x14-5301alwy-cloud-grey-p46950,1499
HONOR MagicBook X14 5301ALWW Cloud Grey,https://zoommer.ge/leptopebi/honor-magicbook-x14-5301alww-cloud-grey-p46949,1699
HONOR MagicBook X16 5301ALWS Space Grey,https://zoommer.ge/leptopebi/honor-magicbook-x16-5301alws-space-grey-p46948,2099
HONOR MagicBook X14 5301ALWG Space Grey,https://zoommer.ge/leptopebi/honor-magicbook-x14-5301alwg-space-grey-p46947,2099
HONOR MagicBook X14 Plus 5301ALWC Space Grey,https://zoommer.ge/leptopebi/honor-magicbook-x14-plus-5301alwc-space-grey-p46946,2399
HONOR MagicBook Art 14 5301AKXL Green,https://zoommer.ge/leptopebi/honor-magicbook-art-14-5301akxl-green-p46945,4999
HONOR MagicBook Pro 16 5301AJJE Purple,https://zoommer.ge/leptopebi/honor-magicbook-pro-16-5301ajje-purple-p46944,3699
Honor MagicBook X16 5301AHHM Space Grey,https://zoommer.ge/leptopebi/honor-magicbook-x16-5301ahhm-space-grey-p46943,1699
Apple MacBook Pro 16 inch 2024 MX313B/A M4 Max Chip 16c CPU 40c GPU 48GB/1TB SSD Space Black,https://zoommer.ge/leptopebi/apple-macbook-pro-16-inch-2024-mx313b-a-m4-max-chip-16c-cpu-40c-gpu-48gb-1tb-ssd-p46928,13499
